Мишка Gaming Wireless Razer Mamba Hyperflux + Подложка за мишка Firefly
Оптична мишка Logitech G502 Proteus Spectrum RGB Tunable
Безжична мишка Gaming ASUS ROG Spatha, RGB, Switch Omron, 8200 dpi, 12 бутона, Двоен режим на свързаност (с кабел/2.4 GHz), Aura Sync осветление, Черен
Гейминг мишка Razer Viper Ultimate, Cyberpunk 2077 Edition с докинг станция, жълта
Геймърска мишка Razer Naga , HyperSpeed, Черна, Bluetooth, 20000 dpi, 19 + 1 bth
